Selección,Fuente,URL,Image_url,Titulo,Descripcion,Tiempo de preparación,Tipo de comida,Categoria,PDF_URL,Ingrediente_1,Cantidad_1,Tipo_1,Ingrediente_2,Cantidad_2,Tipo_2,Ingrediente_3,Cantidad_3,Tipo_3,Ingrediente_4,Cantidad_4,Tipo_4,Ingrediente_5,Cantidad_5,Tipo_5,Ingrediente_6,Cantidad_6,Tipo_6,Ingrediente_7,Cantidad_7,Tipo_7,Ingrediente_8,Cantidad_8,Tipo_8,Ingrediente_9,Cantidad_9,Tipo_9,Ingrediente_10,Cantidad_10,Tipo_10,Ingrediente_11,Cantidad_11,Tipo_11,Ingrediente_12,Cantidad_12,Tipo_12,Valor energético (kJ),Valor energético (kcal),Grasas,de las cuales saturadas,Carbohidratos,de los cuales azúcares,Fibra,Proteínas,Paso 1,Paso 2,Paso 3,Paso 4,Paso 5,Paso 6
TRUE,HelloFresh,https://www.hellofresh.es/recipes/salmon-horno-salsa-champinones-pure-63f785bfbbe06d8c7489ce06,https://images.pexels.com/photos/6941026/pexels-photo-6941026.jpeg,Salmón al horno con salsa de champiñones,acompañado de puré de Patatas con ajo confitado,35 minutos,Cena,Pescados,https://www.hellofresh.es/recipecards/card/salmon-horno-salsa-champinones-pure-63f785bfbbe06d8c7489ce06-714f16a9.pdf,Salmón,200 gramo,Pescadería,Patatas,400 gramo,Vegetales y Legumbres,Champiñones,250 gramo,Vegetales y Legumbres,Eneldo,0.5 unidad,Condimentos y Especias,Queso crema,2 unidad,"Lácteos, Huevos y Derivados",Ajo,2 unidad,Vegetales y Legumbres,Ajo,1 unidad,Vegetales y Legumbres,Mantequilla,1 cucharada,"Lácteos, Huevos y Derivados",,,,,,,,,,,,,2315 kJ,553 kcal,17.9 g,5.9 g,41 g,4.9 g,0 g,27.5 g,"Precalienta el horno a 220ºC. Pela las Patatas y córtalas en dados de 2 cm. En una olla, agrega las Patatas, cúbrelas con agua y añade una pizca de sal. Lleva a ebullición y cocina, a fuego medio, 13-15 min o hasta que estén blandas. Luego, escúrrelas y ponlas de nuevo en la olla. Añade un chorrito de aceite o la mantequilla (ver cantidad en ingredientes) y salpimienta. Con la ayuda de un pasapurés, aplasta las Patatas hasta conseguir un puré.","Pela el ajo (ver cantidad en ingredientes) y colócalo sobre un papel de aluminio. Luego, agrega un chorrito de aceite y envuelve el ajo con el papel de aluminio. Cocina en el horno durante 10-12 min, hasta que esté blando. Una vez cocinado, aplasta con un tenedor y añadelo al puré de Patatas. Remueve bien para integrar.","Limpia los champiñones con la ayuda de un paño húmedo. Retira y desecha el extremo del pie de los champiñones. Luego, córtalos por la mitad y haz láminas finas. Coloca el salmón en una bandeja de horno con papel de horno y agrega un chorrito de aceite y salpimienta. Cocina en el estante superior del horno durante 12-15 min, hasta que esté bien cocinado.
 
","Pela y pica el Ajo (ver cantidad en ingredientes). En una sartén, agrega un chorrito de aceite junto con el Ajo. Calienta a fuego medio y cocina 1-2 min o hasta que se dore. Agrega los champiñones y sube a fuego alto. Cocina durante 4-5 min, hasta que se doren. Salpimienta al gusto.","Deshoja y pica la mitad del eneldo (doble para 4p). Agrega a la sartén el agua (ver cantidad en ingredientes) y lleva a ebullición. Cocina 2-3 min, hasta que se reduzca la salsa. Retira del fuego y agrega el queso crema y la mitad del eneldo picado. Salpimienta y remueve.",Sirve el puré de Patatas con ajo en la base de los platos y agrega el salmón encima. Cubre con la salsa de champiñones y decora con el eneldo restante al gusto.
TRUE,HelloFresh,https://www.hellofresh.es/recipes/poke-langostinos-pepino-maiz-6616b8e39064812f61712cbb,https://images.pexels.com/photos/1527603/pexels-photo-1527603.jpeg,Poke de langostinos con mayonesa de soja,"con pepino encurtido, maíz y Arroz",30 minutos,Comida,Fast Food,,Langostinos,150 gramo,Pescadería,Arroz,150 gramo,Cereales y Derivados,Mayonesa,3 sobre,Salsas y Aderezos,Salsa de soja,1 sobre,Salsas y Aderezos,Pepino,1 unidad,Vegetales y Legumbres,Maíz dulce,140 gramo,Vegetales y Legumbres,Chili en escamas,1 sobre,Condimentos y Especias,Azúcar,1 cucharadita,Condimentos y Especias,Vinagramore de vino tinto,4 cucharadita,,,,,,,,,,,2341 kJ,560 kcal,12.9 g,1.9 g,68 g,5.6 g,1.1 g,24.2 g,"¡Asegúrate de utilizar las cantidades indicadas a la izquierda para preparar tu receta! Llena un cazo con el agua (ver cantidad en ingredientes), añade el arroz y sal al gusto y lleva a ebullición con el cazo tapado. Cuando hierva, baja a fuego medio-bajo y deja cocinar 11-13 min, removiendo ocasionalmente. Una vez cocinado, remueve el arroz con la ayuda de un tenedor para separar los granos y resérvalo en el cazo tapado.","Retira los extremos del pepino y córtalo por la mitad a lo largo. Luego, retira las semillas con ayuda de una cuchara, de forma que la parte interior del pepino quede ligeramente hueca. Corta en medias lunas de 0,5-1 cm. Coloca el pepino en un bol y agrega chili en escamas al gusto, el vinagre de vino tinto y el azúcar (ver cantidad en ingredientes de ambos). Agrega sal, remueve y reserva hasta el emplatado.","Seca los langostinos con papel de cocina. En una sartén, calienta un chorrito de aceite a fuego medio-alto. Cuando el aceite esté caliente, agrega los langostinos, salpimienta y cocina 1-2 min, moviendo ocasionalmente, hasta que se doren. Cuando estén listos, retira y reserva.
","Escurre el maíz. En un bol, mezcla la salsa de soja y la mayonesa. Sirve el Arroz en la base de los boles y agrega encima los langostinos salteados, el maíz y el pepino encurtido, previamente escurrido. Añade sobre el poke la mayonesa de soja al gusto.",,
TRUE,HelloFresh,https://www.hellofresh.es/recipes/salmon-manzana-zanahoria-mayonesa-6616b8d39064812f61712c8f,https://images.pexels.com/photos/539451/pexels-photo-539451.jpeg,Salmón al horno con manzana asada,con zanahoria encurtida y mayonesa de cilantro y lima,40 minutos,Cena,Pescados,https://www.hellofresh.es/recipecards/card/6616b8d39064812f61712c8f-es-ES.pdf,Salmón,200 gramo,Pescadería,Mayonesa,5 sobre,Salsas y Aderezos,Cilantro,1 unidad,Condimentos y Especias,Lima,0.5 unidad,Frutas,Manzana,2 unidad,Frutas,Zanahoria,2 unidad,Vegetales y Legumbres,Azúcar,1 cucharadita,Condimentos y Especias,,,,,,,,,,,,,,,,2389 kJ,571 kcal,29.4 g,4.3 g,37.7 g,23.2 g,11.2 g,20.6 g,"¡Asegúrate de utilizar las cantidades indicadas a la izquierda para preparar tu receta! Precalienta el horno a 200ºC. Corta la manzana por la mitad y retira el corazón, luego, apoya por la parte plana y corta cada mitad en 4 gajos. Coloca los gajos de manzana en una bandeja de horno con papel de horno y añade encima un chorrito de aceite. Salpimienta y remueve. Hornea a media altura durante 12 min.","Ralla la piel de media lima (doble para 4p). Pela la zanahoria y, con la ayuda del pelador, haz cintas a lo largo. Coloca las cintas de zanahoria en un bol y agrega el zumo de la mitad de la lima (doble para 4p) y el azúcar (ver cantidad en ingredientes). Remueve y reserva hasta el emplatado.","Salpimienta el salmón. Cuando la manzana se haya horneado por 12 min, da la vuelta para que se cocine de manera uniforme. Coloca el salmón con la piel hacia abajo en la bandeja de horno, junto a la manzana, y hornea 10-12 min más, hasta que la manzana esté tierna y dorada y el salmón quede completamente cocinado.
","Deshoja y pica el cilantro. En un bol pequeño, agrega la mitad del cilantro picado, la mayonesa y ralladura de lima al gusto. Salpimienta y remueve bien.","En otro bol pequeño, agrega el cilantro restante, un chorrito de aceite, sal y pimienta al gusto. Luego, remueve bien.","Cuando estén listos, sirve el salmón a un lado de los platos y cubre con el cilantro aderezado. Acompaña con las cintas encurtidas de zanahoria y la manzana asada. Finalmente, añade la mayonesa de cilantro y lima en el plato.
 
SABÍAS QUE: Una vez la manzana está abierta, sumergirla en agua con limón evitará que se oxide, proceso también conocido como pardeamiento enzimático."
TRUE,HelloFresh,https://www.hellofresh.es/recipes/pollo-asado-Patatas-queso-verduras-65d8b0dfe15fd4f7b093a41a,https://images.unsplash.com/photo-1525351484163-7529414344d8?q=80&w=1006,Pollo asado con Patatas y queso griego,con verduras horneadas en su jugo y pimentón,1 hora y 30 minutos,Comida,Aves,https://www.hellofresh.es/recipecards/card/65d8b0dfe15fd4f7b093a41a.pdf,Queso griego,100 gramo,"Lácteos, Huevos y Derivados",Muslos de pollo,280 gramo,Carnicería,Pimiento rojo,1 unidad,Vegetales y Legumbres,Cebolla roja,1 unidad,Vegetales y Legumbres,Patatas,400 gramo,Vegetales y Legumbres,Tomillo,0.5 unidad,Condimentos y Especias,Pimentón,1 sobre,Condimentos y Especias,Ajo,1 unidad,Vegetales y Legumbres,,,,,,,,,,,,,2415 kJ,577 kcal,17.1 g,9.6 g,48.4 g,9.8 g,2.1 g,37.7 g,"¡Asegúrate de utilizar las cantidades indicadas a la izquierda para preparar tu receta! Precalienta el horno a 220ºC. Corta las Patatas por la mitad a lo largo, luego, apoya la Patatas por la parte plana y corta en gajos de 1-2 cm de grosor. Pela la cebolla, divídela en dos y córtala en tiras de 2 cm. Corta el pimiento por la mitad, quita las semillas y corta en tiras de 1 cm.","Coloca la Patatas en gajos, la cebolla, el pimiento y el ajo sin pelar (ver cantidad en ingredientes) en una bandeja de horno con papel de horno. Agrega la mitad del Tomillo, el pimentón ahumado y un chorrito de aceite. Salpimienta y remueve para que el aderezo se reparta bien. Hornea a media altura durante 15 min.","Seca los muslos de pollo, salpimienta y agrega un chorrito de aceite y el Tomillo restante. Cuando las verduras se hayan horneado 15 min, remueve para que se cocinen de forma uniforme. Luego, sobre las verduras, coloca los muslos de pollo. Hornea 15-17 min más, hasta que el pollo quede bien hecho y las verduras, tiernas.
 
","Mientras tanto, desmenuza con las manos el queso griego en trozos medianos.","Cuando el pollo y los vegetales estén listos, retira la piel del ajo y deséchala. Aplasta el ajo asado y mézclalo con los jugos que queden en la bandeja. Luego, remueve para que las verduras y el pollo queden sazonados.",Sirve el pollo asado con Patatas y verduras en platos y agrega encima los jugos que hayan quedado en la bandeja de horno. Agrega el queso griego al gusto sobre el plato.
TRUE,HelloFresh,https://www.hellofresh.es/recipes/pechuga-de-pollo-con-almendras-laminadas-6458df7874ba2c58f3c09781,https://images.pexels.com/photos/2338407/pexels-photo-2338407.jpeg,Pechuga de pollo con almendras laminadas,sobre guiso de verduras al estilo marroquí,40 minutos,Comida,Aves,https://www.hellofresh.es/recipecards/card/6458df7874ba2c58f3c09781.pdf,Pechuga de pollo,200 gramo,Carnicería,Almendras laminadas,15 gramo,Frutos Secos,Perejil,0.5 unidad,Condimentos y Especias,Cebolla,0.5 unidad,Vegetales y Legumbres,Zanahoria,1 unidad,Vegetales y Legumbres,Tomate,2 unidad,Vegetales y Legumbres,Tomate frito,1 sobre,Vegetales y Legumbres,Patatas,400 gramo,Vegetales y Legumbres,Miel,2 cucharada,Condimentos y Especias,Caldo de verduras,1 sobre,Líquidos y Caldos,,,,,,,2456 kJ,587 kcal,5.5 g,0.5 g,59.4 g,16.9 g,0 g,34.4 g,"Pela la cebolla, divídela en dos y corta una mitad (doble para 4p) en daditos pequeños. Pela las Patatas y trocéalas en dados de 2-3 cm. Pela la zanahoria y córtala por la mitad a lo largo. Luego, corta cada mitad en medias lunas de 0,5-1 cm. En una olla, calienta un chorrito de aceite a fuego medio. Luego, agrega la cebolla y una pizca de sal y saltea 1 min.","En la olla, agrega las Patatas, la zanahoria y el  y cocina durante 1 min más. Vierte en la olla el agua (ver cantidad en ingredientes) y agrega el Caldo de verduras en polvo. Lleva a ebullición, luego, cocina a fuego bajo, con la olla tapada, durante 20-25 min. Remueve regularmente.","En una sartén, calienta un chorrito de aceite a fuego medio. Agrega las almendras laminadas y cocina 2 min, hasta que se doren. Luego, retira de la sartén y reserva. En la sartén, calienta un chorrito de aceite a fuego medio. Una vez caliente, agrega el pollo, salpimienta y cocina 3-4 min por lado, hasta que esté bien cocinado en el interior.
 
",Agrega de nuevo las almendras tostadas a la sartén con el pollo y cocina 1 min a fuego bajo. Remueve para que los ingredientes se integren. Reserva fuera de la sartén cuando esté listo.,"Corta el tomate por la mitad y, luego, corta cada parte en 4 gajos. Cuando queden 5 min para que las verduras de la olla estén listas, agrega el Tomate frito y cocina, sin tapa, los 5 min restantes. En el último momento, añade el tomate en gajos y la miel. Salpimienta y remueve para que todo se integre.",Deshoja la mitad del perejil (doble para 4p) y pícalo en trozos grandes. Sirve el guiso de verduras en la base de los platos y coloca la pechuga de pollo con almendras tostadas a un lado. Espolvorea perejil picado al gusto sobre el plato.
TRUE,Penaparda,,https://images.pexels.com/photos/1213710/pexels-photo-1213710.jpeg,Ropa Vieja de Ternera,con Patatas y Zanahoria Glaseadas,1 hora y 30 minutos,Comida,Carnes,,Carne de ternera,200 gramo,Carnicería,Patatas,300 gramo,Vegetales y Legumbres,Zanahoria,3 unidad,Vegetales y Legumbres,Cebolla,1 unidad,Vegetales y Legumbres,Ajo,2 unidad,Vegetales y Legumbres,Tomate frito,200 gramo,Vegetales y Legumbres,Laurel,1 hoja,Condimentos y Especias,Caldo de ternera,200 mililitro,Líquidos y Caldos,Azúcar,1 cucharadita,Condimentos y Especias,Mantequilla,1 cucharada,"Lácteos, Huevos y Derivados",,,,,,,2500 kJ,600 kcal,30 g,10 g,45 g,8 g,6 g,35 g,"En una sartén grande, calienta el aceite de oliva y sofríe la cebolla y el ajo picados",Añade la carne de ternera desmenuzada y cocina hasta que esté dorada,"Agrega el Tomate frito, sal, pimienta y la hoja de laurel y cocina a fuego lento durante 30 minutos",Pela y corta las Patatas en trozos grandes y cocina en agua con sal hasta que estén tiernas,"En otra sartén, derrite la mantequilla y añade las Zanahoria cortadas en rodajas y el azúcar y cocina hasta que las Zanahoria estén glaseadas",Sirve la ropa vieja de ternera acompañada de las Patatas y las Zanahoria glaseadas
TRUE,Penaparda,,https://images.unsplash.com/photo-1488477181946-6428a0291777?q=80&w=1007,Filetes de ternera a la plancha,con tortilla de Patatas,40 minutos,Comida,Carnes,,Filetes de Ternera,2 unidad,Carnicería,Patatas,300 gramo,Vegetales y Legumbres,Cebolla,1 unidad,Vegetales y Legumbres,Huevos,3 unidad,"Lácteos, Huevos y Derivados",,,,,,,,,,,,,,,,,,,,,,,,,2500 kJ,600 kcal,35 g,10 g,40 g,5 g,5 g,30 g,Pela y corta las Patatas y la cebolla en rodajas finas,Fríe las Patatas y la cebolla en abundante aceite de oliva hasta que estén tiernas,Escurre las Patatas y cebolla y mézclalas con los Huevos batidos y sal,"En una sartén con un poco de aceite, cocina la mezcla a fuego medio hasta que cuaje por un lado. Da la vuelta y cocina por el otro lado",Sazona los filetes de ternera con sal y pimienta,Cocina los filetes en una plancha caliente durante unos 3 minutos por cada lado o hasta el punto deseado
TRUE,Penaparda,,https://images.pexels.com/photos/6941026/pexels-photo-6941026.jpeg,Pizzas Artesanales con Tomate,Queso e Ingredientes al gusto,30 minutos,Cena,Fast Food,,Masa de pizza,2 unidad,Cereales y Derivados,Tomate frito,200 gramo,Vegetales y Legumbres,Queso mozzarella,200 gramo,"Lácteos, Huevos y Derivados",Orégano,1 cucharadita,Condimentos y Especias,Ingredientes al gusto,200 gramo,Ingredientes al gusto,,,,,,,,,,,,,,,,,,,,,,2500 kJ,600 kcal,35 g,15 g,45 g,8 g,3 g,25 g,Forma las hamburguesas con la carne picada y sazona con sal y pimienta,Cocina las hamburguesas en una sartén con aceite de oliva hasta que estén doradas,Tosta ligeramente los panes de hamburguesa,"Coloca la lechuga, el tomate en rodajas, la cebolla en aros y el queso de cabra sobre los panes",Añade la hamburguesa cocida y cubre con la otra mitad del pan,Sirve con mostaza y kétchup al gusto
TRUE,Penaparda,,https://images.pexels.com/photos/1527603/pexels-photo-1527603.jpeg,Fabada Asturiana Tradicional,con Chorizo Morcilla y Panceta,2 horas,Comida,Legumbres,,Judías,200 gramo,Vegetales y Legumbres,Chorizo,1 unidad,Carnicería,Morcilla,1 unidad,Charcutería,Panceta,100 gramo,Carnicería,Cebolla,1 unidad,Vegetales y Legumbres,Ajo,2 unidad,Vegetales y Legumbres,Pimentón,1 cucharadita,Condimentos y Especias,Laurel,1 hoja,Condimentos y Especias,Caldo de carne,500 mililitro,Líquidos y Caldos,,,,,,,,,,2500 kJ,600 kcal,35 g,12 g,45 g,10 g,6 g,30 g,Remoja las fabes en agua durante la noche anterior,"En una cazuela grande, calienta el aceite de oliva y sofríe la cebolla y el ajo picados","Añade el chorizo, la morcilla y la panceta cortados en trozos","Agrega las fabes, el pimentón, la hoja de laurel y el caldo de carne",Cocina a fuego lento durante 2 horas o hasta que las fabes estén tiernas,Ajusta la sal antes de servir
TRUE,HelloFresh,https://www.hellofresh.es/recipes/gnocchis-vinagreta-bacon-cherry-65d8b0c7e15fd4f7b093a38b,https://images.pexels.com/photos/539451/pexels-photo-539451.jpeg,Gnocchis con vinagreta de bacon,con tomates cherry en salsa de queso al tomillo,25 minutos,Comida,Pastas y Arroces,https://www.hellofresh.es/recipecards/card/65d8b0c7e15fd4f7b093a38b.pdf,Gnocchi,380 gramo,Cereales y Derivados,Tomate cherry,125 gramo,Vegetales y Legumbres,Vinagre balsámico,0.5 sobre,Salsas y Aderezos,Bacon,100 gramo,Carnicería,Queso crema,2 unidad,"Lácteos, Huevos y Derivados",Tomillo,0.5 unidad,Condimentos y Especias,,,,,,,,,,,,,,,,,,,2547 kJ,609 kcal,22.5 g,9 g,65.4 g,3.6 g,5.7 g,15.5 g,"¡Asegúrate de utilizar las cantidades indicadas a la izquierda para preparar tu receta! En un cazo, agrega abundante agua junto con una pizca de sal y lleva a ebullición. Mientras tanto, corta los tomates cherry por la mitad. En la sartén, calienta un chorrito de aceite a fuego medio-alto y saltea el bacon 3-4 min, hasta que esté dorado. Cuando el bacon esté listo, retira de la sartén y reserva en un bol. Retira el exceso de grasa de la sartén.","Cuando el agua del cazo hierva, agrega los gnocchis (ver cantidad en ingredientes) y cocina 2 min. Una vez listos, reserva el agua de la cocción (ver cantidad en ingredientes), luego, escurre con ayuda de un colador. En la sartén, calienta un chorrito de aceite a fuego medio-alto. Agrega los tomates cherry, salpimienta y saltea 2-3 min, removiendo, hasta que se doren.","En la sartén, añade el bacon cocinado, la mitad del vinagre balsámico (doble para 4p), el queso crema y el Tomillo y mezcla bien. Luego, agrega el agua de cocción reservada y cocina a fuego medio-alto 3 min, removiendo ocasionalmente, hasta que la salsa se reduzca ligeramente.
 
SABÍAS QUE: El almidón que contiene el agua de cocción de la pasta ayudará a que te quede una salsa más espesa.","Cuando la salsa haya espesado, agrega a la sartén los gnocchis cocidos y remueve bien. Prueba y rectifica de sal y pimienta. Sirve los gnocchis con bacon y tomates cherry en platos.",,
TRUE,HelloFresh,https://www.hellofresh.es/recipes/vichyssoise-manzana-champinones-pesto-6584baafc6869ff77feaec81,https://images.unsplash.com/photo-1525351484163-7529414344d8?q=80&w=1007,Vichyssoise con manzana caramelizada,y champiñones salteados al pesto,30 minutos,Cena,Sopas y Cremas,https://www.hellofresh.es/recipecards/card/6584baafc6869ff77feaec81.pdf,Puerro,2 unidad,Vegetales y Legumbres,Manzana,1 unidad,Frutas,Caldo de verduras,1 sobre,Líquidos y Caldos,Nata líquida,200 mililitro,"Lácteos, Huevos y Derivados",Cebolla,1 unidad,Vegetales y Legumbres,Pesto de albahaca,50 gramo,Condimentos y Especias,Nuez moscada,1 sobre,Condimentos y Especias,Cebollino,0.5 unidad,Vegetales y Legumbres,Champiñones,250 gramo,Vegetales y Legumbres,Ajo,1 unidad,Vegetales y Legumbres,Azúcar,1 cucharadita,Condimentos y Especias,,,,2572 kJ,615 kcal,30.1 g,13.4 g,56.7 g,26.5 g,2.7 g,12.1 g,"¡Asegúrate de utilizar las cantidades indicadas a la izquierda para preparar tu receta! Pela y pica el ajo (ver cantidad en ingredientes). Pela la cebolla, divídela en dos y córtala en daditos pequeños. Retira las raíces y el extremo verde del puerro y deséchalos. Córtalo por la mitad a lo largo y, luego, corta en medias lunas finas. Corta la manzana por la mitad y retira el corazón. Luego, corta en dados de 1 cm.","En una olla, añade un chorrito de aceite y el ajo. Calienta a fuego medio y cocina 1-2 min. Luego, agrega la cebolla, el puerro y una pizca de sal y cocina 5-6 min, removiendo, hasta que las verduras empiecen a ablandarse. Agrega la nata líquida, el Caldo de verduras y el agua (ver cantidad en ingredientes). Salpimienta, mezcla y tapa la olla. Lleva a ebullición, luego, cocina a fuego medio-bajo 6-7 min, hasta que las verduras estén blandas.","Mientras tanto, calienta una sartén antiadherente a fuego medio. Agrega la manzana, la nuez moscada, el azúcar (ver cantidad en ingredientes) y un chorrito de agua. Cocina 3 min con la tapa puesta y, luego, 3 min sin tapar, hasta que la manzana se haya oscurecido y esté caramelizada. Cuando esté lista, reserva en un plato.","Limpia los champiñones con la ayuda de un paño húmedo. Retira y desecha el extremo del pie de los champiñones. Luego, córtalos en cuartos. En la sartén, calienta un chorrito de aceite a fuego medio. Luego, agrega los champiñones y el pesto de albahaca y saltea 3-4 min, removiendo para que los champiñones queden cubiertos por el pesto. Prueba y salpimienta al gusto.","Cuando las verduras de la olla se hayan cocinado, tritúralas con la ayuda de un túrmix, de manera que quede una crema lisa. Prueba la crema y rectifica de sal y pimienta. Pica la mitad del cebollino (doble para 4p).",Sirve la vichyssoise en platos hondos y agrega encima la manzana caramelizada. Espolvorea el cebollino picado al gusto sobre la crema. Sirve los champiñones al pesto en un bol junto a tu plato para acompañar la vichyssoise.
TRUE,HelloFresh,https://www.hellofresh.es/recipes/lasana-de-calabacin-y-carne-de-ternera-649f374b27a2eef57c938592,https://images.pexels.com/photos/2338407/pexels-photo-2338407.jpeg,Lasaña de calabacín y carne de ternera,con queso gratinado,1 hora,Comida,Pastas y Arroces,https://www.hellofresh.es/recipecards/card/649f374b27a2eef57c938592.pdf,Calabacín,1 unidad,Vegetales y Legumbres,Carne picada,250 gramo,Carnicería,Cebolla,0.5 unidad,Vegetales y Legumbres,Zanahoria,1 unidad,Vegetales y Legumbres,Queso rallado,60 gramo,"Lácteos, Huevos y Derivados",Tomate frito,200 gramo,Vegetales y Legumbres,Ajo,1 unidad,Vegetales y Legumbres,Orégano,1 cucharadita,Condimentos y Especias,Orégano para el aderezo,1 cucharadita,Condimentos y Especias,,,,,,,,,,2582 kJ,617 kcal,31.7 g,14.1 g,26.3 g,13.2 g,0.5 g,40.5 g,"¡Asegúrate de utilizar las cantidades indicadas a la izquierda para preparar tu receta! Precalienta el horno a 220ºC con la opción de gratinar. Pela y pica el ajo (ver cantidad en ingredientes). Pela y ralla la zanahoria. Pela la cebolla, divídela en dos y corta una mitad (doble para 4p) en daditos pequeños. Retira los extremos del calabacín y córtalo en rodajas de 0,5-1 cm.","En una sartén, agrega un chorrito de aceite junto con el ajo. Calienta a fuego medio y cocina 1-2 min o hasta que se dore. Agrega la cebolla, la zanahoria y una pizca de sal y rehoga durante 4-5 min o hasta que las verduras empiecen a abladarse. En otra sartén, calienta un chorrito de aceite a fuego medio. Salpimienta las rodajas de calabacín y cocina 2 min por lado, hasta que se doren ligeramente.","Salpimienta la carne de ternera y añádela a la sartén con la cebolla y la zanahoria. Cocina durante 2-3 min o hasta que empiece a dorarse, removiendo para desmenuzar la carne. Agrega la mitad del tomate frito (doble para 4p) y el orégano (ver cantidad en ingredientes) y mezcla bien. Cocina durante 5-6 min, hasta que la salsa espese ligeramente.
 
","Reparte un chorrito de aceite en la base de una fuente para horno. Coloca una capa de rodajas de calabacín y cubre con el sofrito de verduras, carne y tomate. Repite el proceso dos veces más, de manera que tengas tres capas de calabacín y una última capa de sofrito de tomate y carne.","Agrega el queso rallado sobre la lasaña. Hornea durante 10-12 min, hasta que el queso se gratine.","Cuando la lasaña esté lista, sácala del horno y espolvorea el orégano para el aderezo (ver cantidad en ingredientes) al gusto por encima. Sirve porciones de lasaña de calabacín y carne de ternera en los platos."
TRUE,Penaparda,,https://images.pexels.com/photos/1213710/pexels-photo-1213710.jpeg,Pollo asado al horno ,con Patatas y Pimiento rojo,1 hora 30 minutos,Comida,Aves,,Pollo entero,1500 gramo,Carnicería,Patatas,800 gramo,Vegetales y Legumbres,Pimiento rojo,2 unidad,Vegetales y Legumbres,Pimiento verde,2 unidad,Vegetales y Legumbres,Romero,0.5 unidad,Condimentos y Especias,Tomillo,0.5 unidad,Condimentos y Especias,Limón,1 unidad,Frutas,,,,,,,,,,,,,,,,2595 kJ,620 kcal,35 g,10 g,35 g,7 g,6 g,45 g,Precalienta el horno a 200ºC,Pela las Patatas y córtalas en trozos grandes,Corta los Pimiento rojo en tiras,Pela y pica los ajos,"Coloca el pollo en una bandeja de horno, rocía con aceite de oliva, sal y pimienta, e introduce medio limón en el interior del pollo","Mezcla las Patatas y los Pimiento rojo con aceite de oliva, sal y pimienta y colócalos alrededor del pollo"
TRUE,HelloFresh,https://www.hellofresh.es/recipes/crema-casera-de-zanahoria-y-langostinos-6347efe6bb36093c54997957,https://images.unsplash.com/photo-1488477181946-6428a0291777?q=80&w=1008,Crema casera de zanahoria y langostinos,acompañada de pan con queso crema al cebollino,40 minutos,Cena,Sopas y Cremas,,Zanahoria,2 unidad,Vegetales y Legumbres,Caldo de verduras,1 sobre,Líquidos y Caldos,Langostinos,150 gramo,Pescadería,Cebollino,0.5 unidad,Vegetales y Legumbres,Pan de chapata,2 unidad,Cereales y Derivados,Queso crema,2 unidad,"Lácteos, Huevos y Derivados",Cebolla,1 unidad,Vegetales y Legumbres,Leche,200 mililitro,Líquidos y Caldos,Ajo,2 unidad,Vegetales y Legumbres,,,,,,,,,,2599 kJ,621 kcal,15.3 g,8.5 g,72.6 g,17.9 g,7.3 g,30.7 g,"Pela y pica el ajo (ver cantidad en ingredientes). Pela la cebolla, divídela en dos y córtala en daditos pequeños. En una olla, agrega un chorrito de aceite y la mitad del ajo. Calienta a fuego medio y cocina 1-2 min. Luego, añade la cebolla y cocina 4-5 min. Pela la zanahoria y córtala por la mitad a lo largo. Luego, corta cada mitad en medias lunas de 0,5-1 cm. Cuando la cebolla esté transparente, añade la zanahoria y cocina 2-3 min.","En la olla, añade el agua (ver cantidad en ingredientes), la leche y el Caldo de verduras en polvo a la olla. Lleva a ebullición, luego, baja a fuego medio y cubre con una tapa, salpimienta al gusto. Cocina 20-25 min, hasta que las Zanahoria estén tiernas. Remueve ocasionalmente.","Mientras tanto, pica finamente la mitad del cebollino (doble para 4p) y pon la mitad en un bol. Añade 2/3 queso crema, salpimienta y mezcla bien, de forma que quede una salsa homogénea.","Abre el pan de chapata y tuéstalo en la tostadora hasta que esté ligeramente dorado. Luego, unta la crema de queso al cebollino sobre los panes.","Seca los langostinos con papel de cocina. Cuando queden 2 min para que la zanahoria esté tierna, en una sartén, calienta un chorrito de aceite a fuego medio-alto. Cuando el aceite esté caliente, agrega los langostinos, el ajo restante, salpimienta y cocina 1-2 min, hasta que se doren. Cuando estén listos, retira y reserva.
 
","Cuando la zanahoria esté tierna, agrega el contenido de la olla a la jarra medidora junto con el queso crema restante y tritura con ayuda de un túrmix hasta que quede una crema lisa y suave. Salpimienta al gusto. Sirve la crema de Zanahoria en platos hondos, agrega encima los langostinos y espolvorea el cebollino picado al gusto. Sirve el pan con queso crema al cebollino como acompañamiento."
